caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,relationship_quality,attractive_self,attractive_partner,breakup_year_combo,breakup_month_combo,got_married?_new
76832,76832_4,disqualified,,,,,,,,,,,
77256,77256_4,qualified,no,,,,,,,,,,
78351,78351_4,qualified,yes,201304.0,still together,,,3.0,not at all attractive,slightly attractive,,,
79405,79405_4,disqualified,,,,,,,,,,,
79731,79731_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,very attractive,,,
80656,80656_4,qualified,no,,,,,,,,,,
81286,81286_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,very attractive,,,
82431,82431_4,qualified,no,,,,,,,,,,
83431,83431_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
84485,84485_4,disqualified,,,,,,,,,,,
85281,85281_4,qualified,no,,,,,,,,,,
86591,86591_4,qualified,no,,,,,,,,,,
88205,88205_4,disqualified,,,,,,,,,,,
89766,89766_4,qualified,yes,201311.0,still together,,,5.0,slightly attractive,very attractive,,,no
90315,90315_4,disqualified,,,,,,,,,,,
92625,92625_4,disqualified,,,,,,,,,,,
94431,94431_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,very attractive,,,
95431,95431_4,qualified,no,,,,,,,,,,
96335,96335_4,disqualified,,,,,,,,,,,
97195,97195_4,qualified,yes,201303.0,broke up,,,,moderately attractive,,2012.0,September,
98306,98306_4,disqualified,,,,,,,,,,,
99611,99611_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
100331,100331_4,qualified,yes,201303.0,still together,,,3.0,slightly attractive,moderately attractive,,,
101533,101533_4,disqualified,,,,,,,,,,,
102345,102345_4,disqualified,,,,,,,,,,,
103545,103545_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,moderately attractive,,,no
104565,104565_4,disqualified,,,,,,,,,,,
105515,105515_4,disqualified,,,,,,,,,,,
106296,106296_4,disqualified,,,,,,,,,,,
107255,107255_4,disqualified,,,,,,,,,,,
108381,108381_4,qualified,no,,,,,,,,,,
108501,108501_4,qualified,yes,201303.0,still together,,,5.0,not at all attractive,very attractive,,,
109706,109706_4,disqualified,,,,,,,,,,,
110316,110316_4,qualified,yes,201303.0,still together,,,3.0,moderately attractive,moderately attractive,,,no
112646,112646_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
113235,113235_4,qualified,yes,201303.0,still together,,,2.0,moderately attractive,slightly attractive,,,
114276,114276_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
115473,115473_4,disqualified,,,,,,,,,,,
116271,116271_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
117401,117401_4,qualified,yes,201303.0,still together,,,4.0,slightly attractive,slightly attractive,,,
119371,119371_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,very attractive,,,
119663,119663_4,qualified,no,,,,,,,,,,
120456,120456_4,qualified,yes,201305.0,still together,,,4.0,not at all attractive,not at all attractive,,,
121515,121515_4,qualified,yes,201303.0,broke up,,,,moderately attractive,,2012.0,September,
122441,122441_4,qualified,no,,,,,,,,,,
123405,123405_4,disqualified,,,,,,,,,,,
125346,125346_4,disqualified,,,,,,,,,,,
126231,126231_4,qualified,yes,201303.0,still together,,,5.0,slightly attractive,moderately attractive,,,
127425,127425_4,disqualified,,,,,,,,,,,
128441,128441_4,qualified,yes,201303.0,still together,,,4.0,very attractive,very attractive,,,
129595,129595_4,disqualified,,,,,,,,,,,
130266,130266_4,qualified,yes,201304.0,still together,,,5.0,very attractive,very attractive,,,
131561,131561_4,qualified,no,,,,,,,,,,
132505,132505_4,disqualified,,,,,,,,,,,
133521,133521_4,qualified,yes,201304.0,still together,,,4.0,moderately attractive,moderately attractive,,,
134275,134275_4,qualified,yes,201303.0,still together,2011.0,December,5.0,slightly attractive,slightly attractive,,,yes
134461,134461_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
135736,135736_4,qualified,yes,201303.0,still together,,,4.0,very attractive,very attractive,,,no
136275,136275_4,qualified,no,,,,,,,,,,
137215,137215_4,qualified,no,,,,,,,,,,
138383,138383_4,disqualified,,,,,,,,,,,
140511,140511_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
141843,141843_4,disqualified,,,,,,,,,,,
142561,142561_4,qualified,no,,,,,,,,,,
143746,143746_4,qualified,yes,201304.0,partner passed away,,,,,,,,
144545,144545_4,qualified,yes,201311.0,broke up,,,,not at all attractive,,2013.0,October,
145611,145611_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,very attractive,,,
146405,146405_4,disqualified,,,,,,,,,,,
147245,147245_4,qualified,yes,201303.0,broke up,,,,slightly attractive,,2012.0,September,
